id,registration_id,term_id,course_id,section_kind,section_id,state,assigned_by,assigned_at,ended_at
59,30,1,2,LECTURE,4,ACTIVE,5,2027-09-02T09:00:00Z,
60,30,1,2,PRACTICAL,6,ACTIVE,5,2027-09-02T09:00:00Z,
61,31,1,1,LECTURE,1,ACTIVE,5,2027-09-02T09:00:00Z,
62,31,1,1,PRACTICAL,3,ACTIVE,5,2027-09-02T09:00:00Z,
63,32,1,2,LECTURE,4,ACTIVE,5,2027-09-02T09:00:00Z,
64,32,1,2,PRACTICAL,6,ACTIVE,5,2027-09-02T09:00:00Z,
65,33,1,3,LECTURE,7,ACTIVE,6,2027-09-02T09:00:00Z,
66,33,1,3,PRACTICAL,8,ACTIVE,6,2027-09-02T09:00:00Z,
67,34,1,4,LECTURE,10,ACTIVE,6,2027-09-02T09:00:00Z,
68,34,1,4,PRACTICAL,11,ACTIVE,6,2027-09-02T09:00:00Z,
69,35,1,3,LECTURE,7,ACTIVE,6,2027-09-02T09:00:00Z,
70,35,1,3,PRACTICAL,8,ACTIVE,6,2027-09-02T09:00:00Z,
71,36,1,4,LECTURE,10,ACTIVE,6,2027-09-02T09:00:00Z,
72,36,1,4,PRACTICAL,11,ACTIVE,6,2027-09-02T09:00:00Z,
73,37,1,3,LECTURE,7,ACTIVE,6,2027-09-02T09:00:00Z,
74,37,1,3,PRACTICAL,8,ACTIVE,6,2027-09-02T09:00:00Z,
75,38,1,4,LECTURE,10,ACTIVE,6,2027-09-02T09:00:00Z,
76,38,1,4,PRACTICAL,11,ACTIVE,6,2027-09-02T09:00:00Z,
77,39,1,3,LECTURE,7,ACTIVE,6,2027-09-02T09:00:00Z,
78,39,1,3,PRACTICAL,8,ACTIVE,6,2027-09-02T09:00:00Z,
79,40,1,4,LECTURE,10,ACTIVE,6,2027-09-02T09:00:00Z,
80,40,1,4,PRACTICAL,11,ACTIVE,6,2027-09-02T09:00:00Z,
81,41,1,3,LECTURE,7,ACTIVE,6,2027-09-02T09:00:00Z,
82,41,1,3,PRACTICAL,8,ACTIVE,6,2027-09-02T09:00:00Z,
83,42,1,4,LECTURE,10,ACTIVE,6,2027-09-02T09:00:00Z,
84,42,1,4,PRACTICAL,11,ACTIVE,6,2027-09-02T09:00:00Z,
85,43,1,3,LECTURE,7,ACTIVE,6,2027-09-02T09:00:00Z,
86,43,1,3,PRACTICAL,8,ACTIVE,6,2027-09-02T09:00:00Z,
87,44,1,4,LECTURE,10,ACTIVE,6,2027-09-02T09:00:00Z,
88,44,1,4,PRACTICAL,11,ACTIVE,6,2027-09-02T09:00:00Z,
89,45,1,3,LECTURE,7,ACTIVE,6,2027-09-02T09:00:00Z,
90,45,1,3,PRACTICAL,8,ACTIVE,6,2027-09-02T09:00:00Z,
91,46,1,4,LECTURE,10,ACTIVE,6,2027-09-02T09:00:00Z,
92,46,1,4,PRACTICAL,11,ACTIVE,6,2027-09-02T09:00:00Z,
93,47,1,3,LECTURE,7,ACTIVE,6,2027-09-02T09:00:00Z,
94,47,1,3,PRACTICAL,8,ACTIVE,6,2027-09-02T09:00:00Z,
95,48,1,4,LECTURE,10,ACTIVE,6,2027-09-02T09:00:00Z,
96,48,1,4,PRACTICAL,11,ACTIVE,6,2027-09-02T09:00:00Z,
97,49,1,3,LECTURE,7,ACTIVE,6,2027-09-02T09:00:00Z,
98,49,1,3,PRACTICAL,9,ACTIVE,6,2027-09-02T09:00:00Z,
99,50,1,4,LECTURE,10,ACTIVE,6,2027-09-02T09:00:00Z,
100,50,1,4,PRACTICAL,12,ACTIVE,6,2027-09-02T09:00:00Z,
101,51,1,3,LECTURE,7,ACTIVE,6,2027-09-02T09:00:00Z,
102,51,1,3,PRACTICAL,9,ACTIVE,6,2027-09-02T09:00:00Z,
103,52,1,4,LECTURE,10,ACTIVE,6,2027-09-02T09:00:00Z,
104,52,1,4,PRACTICAL,12,ACTIVE,6,2027-09-02T09:00:00Z,
105,53,1,3,LECTURE,7,ACTIVE,6,2027-09-02T09:00:00Z,
106,53,1,3,PRACTICAL,9,ACTIVE,6,2027-09-02T09:00:00Z,
107,54,1,4,LECTURE,10,ACTIVE,6,2027-09-02T09:00:00Z,
108,54,1,4,PRACTICAL,12,ACTIVE,6,2027-09-02T09:00:00Z,
109,55,1,3,LECTURE,7,ACTIVE,6,2027-09-02T09:00:00Z,
110,55,1,3,PRACTICAL,9,ACTIVE,6,2027-09-02T09:00:00Z,
111,56,1,4,LECTURE,10,ACTIVE,6,2027-09-02T09:00:00Z,
112,56,1,4,PRACTICAL,12,ACTIVE,6,2027-09-02T09:00:00Z,
113,57,1,3,LECTURE,7,ACTIVE,6,2027-09-02T09:00:00Z,
114,57,1,3,PRACTICAL,9,ACTIVE,6,2027-09-02T09:00:00Z,
115,58,1,4,LECTURE,10,ACTIVE,6,2027-09-02T09:00:00Z,
116,58,1,4,PRACTICAL,12,ACTIVE,6,2027-09-02T09:00:00Z,
117,59,1,3,LECTURE,7,ACTIVE,6,2027-09-02T09:00:00Z,
118,59,1,3,PRACTICAL,9,ACTIVE,6,2027-09-02T09:00:00Z,
119,60,1,4,LECTURE,10,ACTIVE,6,2027-09-02T09:00:00Z,
120,60,1,4,PRACTICAL,12,ACTIVE,6,2027-09-02T09:00:00Z,
121,61,1,3,LECTURE,7,ACTIVE,6,2027-09-02T09:00:00Z,
122,61,1,3,PRACTICAL,9,ACTIVE,6,2027-09-02T09:00:00Z,
123,62,1,4,LECTURE,10,ACTIVE,6,2027-09-02T09:00:00Z,
124,62,1,4,PRACTICAL,12,ACTIVE,6,2027-09-02T09:00:00Z,
125,63,1,3,LECTURE,7,ACTIVE,6,2027-09-02T09:00:00Z,
126,63,1,3,PRACTICAL,9,ACTIVE,6,2027-09-02T09:00:00Z,
127,64,1,4,LECTURE,10,ACTIVE,6,2027-09-02T09:00:00Z,
128,64,1,4,PRACTICAL,12,ACTIVE,6,2027-09-02T09:00:00Z,
