id,student_id,course_id,term_id,state,registered_by,registered_at,updated_at
35,18,3,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
36,18,4,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
37,19,3,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
38,19,4,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
39,20,3,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
40,20,4,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
41,21,3,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
42,21,4,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
43,22,3,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
44,22,4,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
45,23,3,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
46,23,4,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
47,24,3,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
48,24,4,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
49,25,3,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
50,25,4,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
51,26,3,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
52,26,4,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
53,27,3,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
54,27,4,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
55,28,3,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
56,28,4,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
57,29,3,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
58,29,4,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
59,30,3,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
60,30,4,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
61,31,3,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
62,31,4,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
63,32,3,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
64,32,4,1,REGISTERED,4,2027-09-01T10:00:00Z,2027-09-01T10:00:00Z
