submission_id,term_id,slot_id,kind
5,1,20,AVAILABLE
6,1,1,AVAILABLE
6,1,2,AVAILABLE
6,1,3,AVAILABLE
6,1,4,AVAILABLE
6,1,5,AVAILABLE
6,1,6,AVAILABLE
6,1,7,AVAILABLE
6,1,8,AVAILABLE
6,1,9,AVAILABLE
6,1,10,AVAILABLE
6,1,11,AVAILABLE
6,1,12,AVAILABLE
6,1,13,AVAILABLE
6,1,14,AVAILABLE
6,1,15,AVAILABLE
6,1,16,AVAILABLE
6,1,17,AVAILABLE
6,1,18,AVAILABLE
6,1,19,AVAILABLE
6,1,20,AVAILABLE
7,1,1,AVAILABLE
7,1,2,AVAILABLE
7,1,3,AVAILABLE
7,1,4,AVAILABLE
7,1,5,AVAILABLE
7,1,6,AVAILABLE
7,1,7,AVAILABLE
7,1,8,AVAILABLE
7,1,9,AVAILABLE
7,1,10,AVAILABLE
7,1,11,AVAILABLE
7,1,12,AVAILABLE
7,1,13,AVAILABLE
7,1,14,AVAILABLE
7,1,15,AVAILABLE
7,1,16,AVAILABLE
7,1,17,AVAILABLE
7,1,18,AVAILABLE
7,1,19,AVAILABLE
7,1,20,AVAILABLE
8,1,1,AVAILABLE
8,1,2,AVAILABLE
8,1,3,AVAILABLE
8,1,4,AVAILABLE
8,1,5,AVAILABLE
8,1,6,AVAILABLE
8,1,7,AVAILABLE
8,1,8,AVAILABLE
8,1,9,AVAILABLE
8,1,10,AVAILABLE
8,1,11,AVAILABLE
8,1,12,AVAILABLE
8,1,13,AVAILABLE
8,1,14,AVAILABLE
8,1,15,AVAILABLE
8,1,16,AVAILABLE
8,1,17,AVAILABLE
8,1,18,AVAILABLE
8,1,19,AVAILABLE
8,1,20,AVAILABLE
9,1,1,AVAILABLE
9,1,2,AVAILABLE
9,1,3,AVAILABLE
9,1,4,AVAILABLE
9,1,5,AVAILABLE
9,1,6,AVAILABLE
9,1,7,AVAILABLE
9,1,8,AVAILABLE
9,1,9,AVAILABLE
9,1,10,AVAILABLE
9,1,11,AVAILABLE
9,1,12,AVAILABLE
9,1,13,AVAILABLE
9,1,14,AVAILABLE
9,1,15,AVAILABLE
9,1,16,AVAILABLE
9,1,17,AVAILABLE
9,1,18,AVAILABLE
9,1,19,AVAILABLE
9,1,20,AVAILABLE
10,1,1,AVAILABLE
10,1,2,AVAILABLE
10,1,3,AVAILABLE
10,1,4,AVAILABLE
10,1,5,AVAILABLE
10,1,6,AVAILABLE
10,1,7,AVAILABLE
10,1,8,AVAILABLE
10,1,9,AVAILABLE
10,1,10,AVAILABLE
10,1,11,AVAILABLE
10,1,12,AVAILABLE
10,1,13,AVAILABLE
10,1,14,AVAILABLE
10,1,15,AVAILABLE
10,1,16,AVAILABLE
10,1,17,AVAILABLE
10,1,18,AVAILABLE
10,1,19,AVAILABLE
10,1,20,AVAILABLE
11,1,1,AVAILABLE
11,1,2,AVAILABLE
11,1,3,AVAILABLE
11,1,4,AVAILABLE
11,1,5,AVAILABLE
11,1,6,AVAILABLE
11,1,7,AVAILABLE
11,1,8,AVAILABLE
11,1,9,AVAILABLE
11,1,10,AVAILABLE
11,1,11,AVAILABLE
11,1,12,AVAILABLE
11,1,13,AVAILABLE
11,1,14,AVAILABLE
11,1,15,AVAILABLE
11,1,16,AVAILABLE
11,1,17,AVAILABLE
11,1,18,AVAILABLE
11,1,19,AVAILABLE
11,1,20,AVAILABLE
12,1,1,AVAILABLE
12,1,2,AVAILABLE
12,1,3,AVAILABLE
12,1,4,AVAILABLE
12,1,5,AVAILABLE
12,1,6,AVAILABLE
12,1,7,AVAILABLE
12,1,8,AVAILABLE
12,1,9,AVAILABLE
12,1,10,AVAILABLE
12,1,11,AVAILABLE
12,1,12,AVAILABLE
12,1,13,AVAILABLE
12,1,14,AVAILABLE
12,1,15,AVAILABLE
12,1,16,AVAILABLE
12,1,17,AVAILABLE
12,1,18,AVAILABLE
12,1,19,AVAILABLE
12,1,20,AVAILABLE
13,1,1,AVAILABLE
13,1,2,AVAILABLE
13,1,3,AVAILABLE
13,1,4,AVAILABLE
13,1,5,AVAILABLE
13,1,6,AVAILABLE
13,1,7,AVAILABLE
13,1,8,AVAILABLE
13,1,9,AVAILABLE
13,1,10,AVAILABLE
13,1,11,AVAILABLE
13,1,12,AVAILABLE
13,1,13,AVAILABLE
13,1,14,AVAILABLE
13,1,15,AVAILABLE
13,1,16,AVAILABLE
13,1,17,AVAILABLE
13,1,18,AVAILABLE
13,1,19,AVAILABLE
13,1,20,AVAILABLE
14,1,1,AVAILABLE
14,1,2,AVAILABLE
14,1,3,AVAILABLE
14,1,4,AVAILABLE
14,1,5,AVAILABLE
14,1,6,AVAILABLE
14,1,7,AVAILABLE
14,1,8,AVAILABLE
14,1,9,AVAILABLE
14,1,10,AVAILABLE
14,1,11,AVAILABLE
14,1,12,AVAILABLE
14,1,13,AVAILABLE
14,1,14,AVAILABLE
14,1,15,AVAILABLE
14,1,16,AVAILABLE
14,1,17,AVAILABLE
14,1,18,AVAILABLE
14,1,19,AVAILABLE
14,1,20,AVAILABLE
